Date,Activations,Unique Summits,Summits
2002-07-27,1,1,GM/WS-009
2002-08-03,1,1,GM/SS-222
2002-09-01,1,1,GM/CS-003
2002-09-14,1,1,GM/SS-081
2002-09-16,1,1,GM/WS-249
2002-09-21,2,2,"GM/SS-006, GM/SS-017"
2002-09-22,1,1,GM/WS-294
2002-09-24,1,1,GM/CS-001
2002-09-27,2,1,GM/SS-216
2002-09-29,2,1,GM/CS-001
2002-10-06,1,1,GM/SS-064
2002-10-10,1,1,GM/SS-240
2002-10-13,1,1,GM/SI-003
2002-10-18,2,2,"GM/SS-049, GM/SS-077"
2002-10-19,1,1,GM/SS-029
2002-10-27,1,1,GM/SS-062
2002-10-30,1,1,GM/SS-037
2002-11-02,1,1,GM/SS-103
2002-11-05,1,1,GM/SS-030
2002-11-10,1,1,GM/SS-066
2002-11-23,1,1,GM/SS-018
2002-11-30,1,1,GM/SS-006
2002-12-07,1,1,GM/SS-156
2002-12-14,1,1,GM/SS-140
2002-12-18,2,2,"GM/SS-056, GM/SS-123"
2002-12-21,1,1,GM/SS-158
2002-12-28,2,2,"GM/SS-082, GM/SS-100"
2002-12-29,1,1,GM/SS-090
2002-12-31,4,4,"GM/SS-054, GM/SS-068, GM/SS-125, GM/SS-167"
2003-01-04,2,2,"GM/SS-075, GM/SS-112"
2003-01-06,2,2,"GM/SS-117, GM/SS-124"
2003-01-07,1,1,GM/SS-120
2003-01-11,3,2,"GM/SS-032, GM/SS-060"
2003-01-18,2,2,"GM/ES-052, GM/SS-046"
2003-01-19,3,3,"GM/SS-052, GM/SS-062, GM/SS-144"
2003-01-23,2,2,"GM/SS-122, GM/SS-140"
2003-01-25,1,1,GM/SS-066
2003-01-26,1,1,GM/SS-081
2003-02-01,4,4,"GM/SS-054, GM/SS-064, GM/SS-068, GM/SS-080"
2003-02-05,1,1,GM/SS-059
2003-02-08,1,1,GM/SS-040
2003-02-09,1,1,GM/ES-021
2003-02-12,2,2,"GM/SS-070, GM/SS-164"
2003-02-15,4,4,"GM/SS-006, GM/SS-016, GM/SS-020, GM/SS-025"
2003-02-18,1,1,GM/SS-103
2003-02-22,3,3,"GM/ES-041, GM/SS-049, GM/SS-077"
2003-03-01,2,2,"GM/ES-038, GM/SS-027"
2003-03-02,1,1,GM/SS-090
2003-03-06,3,3,"GM/SS-128, GM/SS-143, GM/SS-145"
2003-03-08,1,1,GM/ES-030
2003-03-12,2,2,"GM/SS-001, GM/SS-002"
2003-03-15,3,3,"GM/ES-040, GM/SS-118, GM/SS-136"
2003-03-22,1,1,GM/SS-018
2003-03-24,2,2,"GM/CS-008, GM/CS-025"
2003-03-29,3,3,"GM/ES-033, GM/SS-001, GM/SS-002"
2003-04-05,2,2,"GM/SS-005, GM/SS-009"
2003-04-06,1,1,GM/CS-021
2003-04-09,2,1,GM/SS-171
2003-04-12,1,1,GM/ES-031
2003-04-13,2,2,"GM/NS-005, GM/SS-040"
2003-04-18,1,1,GM/WS-125
