summitCode,UserId,Callsign,ActivationDate
GM/ES-001,94131,GM5ALX/P,2024-11-06
GM/ES-001,46844,MM0EFI/P,2024-09-29
GM/ES-001,48083,2M0RVZ,2024-09-29
GM/ES-001,18213,MM0VPM,2023-08-10
GM/ES-001,6790,GM0GAV/P,2023-07-29
GM/ES-001,16826,MM0IVR/P,2023-06-10
GM/ES-001,46844,MM0EFI/P,2022-04-30
GM/ES-001,49271,GM4BML/P,2022-04-30
GM/ES-001,46844,MM0EFI/P,2021-06-30
GM/ES-001,10943,GM7WKX/P,2020-10-06
GM/ES-001,3853,MM/SQ9MDF/P,2019-08-06
GM/ES-001,805,MM/HB9IAB/P,2018-10-18
GM/ES-001,5632,GM0EVV/P,2018-09-11
GM/ES-001,2330,MM0TAI,2018-06-06
GM/ES-001,77,GM4YSS/P,2018-05-10
GM/ES-001,130,GM7PKT/P,2015-07-06
GM/ES-001,3400,MM0GYX/P,2012-03-23
GM/ES-001,3273,MM0YCJ/P,2012-03-17
GM/ES-001,1003,MM0ROV/P,2011-11-05
GM/ES-001,2843,MM0ECU/P,2010-07-31
GM/ES-001,2330,2M0ETR/P,2010-06-12
GM/ES-001,52,GM4TOE/P,2009-08-05
GM/ES-001,69,MM1EYP/P,2009-08-05
GM/ES-001,729,MM3EYP/P,2009-08-05
GM/ES-001,1234,GM6WRW/P,2009-06-19
GM/ES-001,1563,MM0YHB/P,2009-06-19
GM/ES-001,52,GM4TOE/P,2008-06-21
GM/ES-001,52,GM4TOE/P,2006-07-08
GM/ES-001,741,GM6DDQ,2006-05-02
GM/ES-001,52,GM4TOE/P,2005-07-02
GM/ES-001,887,GMOUDL/P,2005-03-19
GM/ES-001,773,MM0DHY/P,2004-08-08
GM/ES-001,52,GM4TOE/P,2004-05-15
GM/ES-001,52,GM4TOE,2003-05-24
GM/ES-002,18213,MM0VPM ,2024-08-31
GM/ES-002,46844,MM0EFI/P,2022-08-28
GM/ES-002,46844,MM0EFI/P,2021-09-20
GM/ES-002,6790,GM0GAV/P,2019-07-14
GM/ES-002,5632,GM0EVV/P,2018-09-12
GM/ES-002,3400,MM0GYX/P,2016-08-01
GM/ES-002,130,GM7PKT/P,2015-09-09
GM/ES-002,82,GM4COX,2013-09-27
GM/ES-002,1003,MM0ROV/P,2012-05-26
GM/ES-002,3273,MM0YCJ/P,2012-03-24
GM/ES-002,2823,MM0HAI/P,2010-09-12
GM/ES-002,52,GM4TOE/P,2008-07-26
GM/ES-002,1414,MM3WJZ/P,2008-06-24
GM/ES-002,741,GM6DDQ,2006-05-01
GM/ES-002,887,GM0UDL/P,2004-10-16
GM/ES-002,773,MM0DHY/P,2004-08-07
GM/ES-002,52,GM4TOE/P,2004-07-25
GM/ES-003,18213,MM0VPM ,2024-08-31
